Division,Team,"City, State",Arena,Capacity,Coordinates,Founded,Joined,latitude,longitude
Atlantic,Boston Celtics,"Boston, Massachusetts",TD Garden,18624, ﻿42.366303°N 71.062228°W,1946,1946,42.366303,-71.062228
Atlantic,Brooklyn Nets,"New York City, New York",Barclays Center,17732, ﻿40.68265°N 73.974689°W,1967*,1976,40.68265,-73.974689
Atlantic,New York Knicks,"New York City, New York",Madison Square Garden,19812, ﻿40.750556°N 73.993611°W,1946,1946,40.750556,-73.993611
Atlantic,Philadelphia 76ers,"Philadelphia, Pennsylvania",Wells Fargo Center,21600, ﻿39.901111°N 75.171944°W,1946*,1949,39.901111,-75.171944
Atlantic,Toronto Raptors,"Toronto, Ontario",Scotiabank Arena,19800, ﻿43.643333°N 79.379167°W,1995,1995,43.643333,-79.379167
Central,Chicago Bulls,"Chicago, Illinois",United Center,20917, ﻿41.880556°N 87.674167°W,1966,1966,41.880556,-87.674167
Central,Cleveland Cavaliers,"Cleveland, Ohio",Rocket Mortgage FieldHouse,20562, ﻿41.496389°N 81.688056°W,1970,1970,41.496389,-81.688056
Central,Detroit Pistons,"Detroit, Michigan",Little Caesars Arena,20491, ﻿42.696944°N 83.245556°W,1941*,1948,42.696944,-83.245556
Central,Indiana Pacers,"Indianapolis, Indiana",Bankers Life Fieldhouse,17923, ﻿39.763889°N 86.155556°W,1967,1976,39.763889,-86.155556
Central,Milwaukee Bucks,"Milwaukee, Wisconsin",Fiserv Forum,18717, ﻿43.043611°N 87.916944°W,1968,1968,43.043611,-87.916944
Southeast,Atlanta Hawks,"Atlanta, Georgia",State Farm Arena,15711, ﻿33.757222°N 84.396389°W,1946*,1949,33.757222,-84.396389
Southeast,Charlotte Hornets,"Charlotte, North Carolina",Spectrum Center,19077, ﻿35.225°N 80.839167°W,1988*,1988*,35.225,-80.839167
Southeast,Miami Heat,"Miami, Florida",American Airlines Arena,19600, ﻿25.781389°N 80.188056°W,1988,1988,25.781389,-80.188056
Southeast,Orlando Magic,"Orlando, Florida",Amway Center,18846, ﻿28.539167°N 81.383611°W,1989,1989,28.539167,-81.383611
Southeast,Washington Wizards,"Washington, D.C.",Capital One Arena,20356, ﻿38.898056°N 77.020833°W,1961*,1961*,38.898056,-77.020833
Northwest,Denver Nuggets,"Denver, Colorado",Pepsi Center,19520, ﻿39.748611°N 105.0075°W,1967,1976,39.748611,-105.0075
Northwest,Minnesota Timberwolves,"Minneapolis, Minnesota",Target Center,19356, ﻿44.979444°N 93.276111°W,1989,1989,44.979444,-93.276111
Northwest,Oklahoma City Thunder,"Oklahoma City, Oklahoma",Chesapeake Energy Arena,18203, ﻿35.463333°N 97.515°W,1967*,1967*,35.463333,-97.515
Northwest,Portland Trail Blazers,"Portland, Oregon",Moda Center,19441, ﻿45.531667°N 122.666667°W,1970,1970,45.531667,-122.666667
Northwest,Utah Jazz,"Salt Lake City, Utah",Vivint Smart Home Arena,19911, ﻿40.768333°N 111.901111°W,1974*,1974*,40.768333,-111.901111
Pacific,Golden State Warriors,"San Francisco, California",Chase Center,19596, ﻿37.768056°N 122.3875°W,1946*,1946*,37.768056,-122.3875
Pacific,Los Angeles Clippers,"Los Angeles, California",Staples Center,19060, ﻿34.043056°N 118.267222°W,1970*,1970*,34,-117
Pacific,Los Angeles Lakers,"Los Angeles, California",Staples Center,18997, ﻿34.043056°N 118.267222°W,1947*,1948,34.043056,-118.267222
Pacific,Phoenix Suns,"Phoenix, Arizona",Talking Stick Resort Arena,18055, ﻿33.445833°N 112.071389°W,1968,1968,33.445833,-112.071389
Pacific,Sacramento Kings,"Sacramento, California",Golden 1 Center,17500, ﻿38.649167°N 121.518056°W,1923*,1948,38.649167,-121.518056
Southwest,Dallas Mavericks,"Dallas, Texas",American Airlines Center,19200, ﻿32.790556°N 96.810278°W,1980,1980,32.790556,-96.810278
Southwest,Houston Rockets,"Houston, Texas",Toyota Center,18055, ﻿29.750833°N 95.362222°W,1967*,1967*,29.750833,-95.362222
Southwest,Memphis Grizzlies,"Memphis, Tennessee",FedExForum,18119, ﻿35.138333°N 90.050556°W,1995*,1995*,35.138333,-90.050556
Southwest,New Orleans Pelicans,"New Orleans, Louisiana",Smoothie King Center,16867, ﻿29.948889°N 90.081944°W,2002*,2002*,29.948889,-90.081944
Southwest,San Antonio Spurs,"San Antonio, Texas",AT&T Center,18418, ﻿29.426944°N 98.4375°W,1967*,1976,29.426944,-98.4375
