Year,League Champion,Most Valuable Player,Rookie of the Year,PPG Leader,RPG Leader,APG Leader,WS Leader
1985,Los Angeles Lakers,Larry Bird,Michael Jordan,Bernard King,Moses Malone,Isiah Thomas,Larry Bird
1986,Boston Celtics,Larry Bird,Patrick Ewing,Dominique Wilkins,Bill Laimbeer,Magic Johnson,Larry Bird
1987,Los Angeles Lakers,Magic Johnson,Chuck Person,Michael Jordan,Charles Barkley,Magic Johnson,Michael Jordan
1988,Los Angeles Lakers,Michael Jordan,Mark Jackson,Michael Jordan,Michael Cage,John Stockton,Michael Jordan
1989,Detroit Pistons,Magic Johnson,Mitch Richmond,Michael Jordan,Hakeem Olajuwon,John Stockton,Michael Jordan
1990,Detroit Pistons,Magic Johnson,David Robinson,Michael Jordan,Hakeem Olajuwon,John Stockton,Michael Jordan
1991,Chicago Bulls,Michael Jordan,Derrick Coleman,Michael Jordan,David Robinson,John Stockton,Michael Jordan
1992,Chicago Bulls,Michael Jordan,Larry Johnson,Michael Jordan,Dennis Rodman,John Stockton,Michael Jordan
1993,Chicago Bulls,Charles Barkley,Shaquille O'Neal,Michael Jordan,Dennis Rodman,John Stockton,Michael Jordan
1994,Houston Rockets,Hakeem Olajuwon,Chris Webber,David Robinson,Dennis Rodman,John Stockton,David Robinson
1995,Houston Rockets,David Robinson,Grant Hill,Shaquille O'Neal,Dennis Rodman,John Stockton,David Robinson
1996,Chicago Bulls,Michael Jordan,Damon Stoudamire,Michael Jordan,Dennis Rodman,John Stockton,Michael Jordan
1997,Chicago Bulls,Karl Malone,Allen Iverson,Michael Jordan,Dennis Rodman,Mark Jackson,Michael Jordan
1998,Chicago Bulls,Michael Jordan,Tim Duncan,Michael Jordan,Dennis Rodman,Rod Strickland,Karl Malone
1999,San Antonio Spurs,Karl Malone,Vince Carter,Allen Iverson,Chris Webber,Jason Kidd,Karl Malone
2000,Los Angeles Lakers,Shaquille O'Neal,Elton Brand,Shaquille O'Neal,Dikembe Mutombo,Jason Kidd,Shaquille O'Neal
2001,Los Angeles Lakers,Allen Iverson,Mike Miller,Allen Iverson,Dikembe Mutombo,Jason Kidd,Shaquille O'Neal
2002,Los Angeles Lakers,Tim Duncan,Pau Gasol,Allen Iverson,Ben Wallace,Andre Miller,Tim Duncan
2003,San Antonio Spurs,Tim Duncan,Amar'e Stoudemire,Tracy McGrady,Ben Wallace,Jason Kidd,Tim Duncan
2004,Detroit Pistons,Kevin Garnett,LeBron James,Tracy McGrady,Kevin Garnett,Jason Kidd,Kevin Garnett
2005,San Antonio Spurs,Steve Nash,Emeka Okafor,Allen Iverson,Kevin Garnett,Steve Nash,Kevin Garnett
2006,Miami Heat,Steve Nash,Chris Paul,Kobe Bryant,Kevin Garnett,Steve Nash,Dirk Nowitzki
2007,San Antonio Spurs,Dirk Nowitzki,Brandon Roy,Kobe Bryant,Kevin Garnett,Steve Nash,Dirk Nowitzki
2008,Boston Celtics,Kobe Bryant,Kevin Durant,LeBron James,Dwight Howard,Chris Paul,Chris Paul
2009,Los Angeles Lakers,LeBron James,Derrick Rose,Dwyane Wade,Dwight Howard,Chris Paul,LeBron James
2010,Los Angeles Lakers,LeBron James,Tyreke Evans,Kevin Durant,Dwight Howard,Steve Nash,LeBron James
2011,Dallas Mavericks,Derrick Rose,Blake Griffin,Kevin Durant,Kevin Love,Steve Nash,LeBron James
2012,Miami Heat,LeBron James,Kyrie Irving,Kevin Durant,Dwight Howard,Rajon Rondo,LeBron James
2013,Miami Heat,LeBron James,Damian Lillard,Carmelo Anthony,Dwight Howard,Rajon Rondo,LeBron James
2014,San Antonio Spurs,Kevin Durant,Michael Carter-Williams,Kevin Durant,DeAndre Jordan,Chris Paul,Kevin Durant
2015,Golden State Warriors,Stephen Curry,Andrew Wiggins,Russell Westbrook,DeAndre Jordan,Chris Paul,James Harden
2016,Cleveland Cavaliers,Stephen Curry,Karl-Anthony Towns,Stephen Curry,Andre Drummond,Rajon Rondo,Stephen Curry
2017,Golden State Warriors,Russell Westbrook,Malcolm Brogdon,Russell Westbrook,Hassan Whiteside,James Harden,James Harden
2018,Golden State Warriors,James Harden,Ben Simmons,James Harden,Andre Drummond,Russell Westbrook,James Harden
2019,Toronto Raptors,Giannis Antetokounmpo,Luka Dončić,James Harden,Andre Drummond,Russell Westbrook,James Harden
